Clay,Nitrogen,SOC,Sand,Silt,SOC%,Nitrogen%
350,1731,173,279,371,1.4,0.08
354,1605,206,288,358,1.96,0.09
294,1581,182,355,351,1.94,0.09
272,1856,195,308,420,2.25,0.1
313,1534,171,257,431,2.37,0.09
368,1626,186,247,384,2.09,0.09
325,1760,187,231,444,2.18,0.09
286,1933,183,317,398,1.92,0.1
317,1760,196,306,377,2.14,0.09
348,1688,163,297,355,1.96,0.1
358,1911,215,249,394,1.7,0.17
343,1902,187,241,416,1.94,0.9
330,1563,196,298,372,1.26,12.6
295,1656,177,362,343,0.69,0.04
330,1525,214,301,369,0.61,0.06
342,1398,205,282,375,0.51,0.04
323,1503,160,245,432,0.74,0.05
333,1527,181,269,398,0.92,0.05
277,1816,186,296,427,1.58,0.06
280,1818,206,326,393,0.98,0.06
332,1567,156,277,391,1.14,0.07
335,1834,186,255,409,0.58,0.04
303,1655,193,298,398,0.23,0.01
322,1863,184,238,440,0.14,0.04
320,1786,180,314,366,0.76,0.04
304,1964,205,327,369,1.03,0.05
319,1707,178,299,382,1,0.06
314,1755,164,259,427,1.44,0.07
305,1829,177,288,407,1.65,0.08
319,1906,205,311,370,0.96,0.05
345,2100,192,235,420,1.72,0.09
303,1777,188,346,351,0.76,0.04
357,1863,190,235,408,1.03,0.05
302,1471,176,259,439,1.85,0.09
319,1988,187,314,367,1.23,0.06
353,1531,200,245,402,0.96,0.05
324,1455,167,256,420,1.72,0.09
337,1596,189,272,390,1.92,0.1
308,1776,193,334,358,1.51,0.08
357,1650,197,234,409,1.24,0.06
300,1662,190,257,443,1.72,0.09
273,1889,202,333,394,1.38,0.07
313,1545,187,245,442,1.17,0.06
327,1535,188,288,386,1.72,0.09
305,1914,183,325,370,1.92,0.1
327,2061,193,249,423,1.51,0.08
307,1865,190,307,386,1.72,0.09
295,1767,193,325,380,2.85,0.14
334,1700,174,298,368,1.99,0.1
315,1542,157,292,394,1.92,0.1
341,2146,177,296,363,2.23,0.11
302,1944,194,296,402,0.76,0.04
320,1569,190,243,437,2.2,0.11
335,1735,174,306,360,2.87,0.14
315,1886,187,361,323,2.13,0.11
315,1513,183,260,425,2.87,0.14
324,1560,186,283,393,1.71,0.09
301,1733,189,260,438,2.75,0.14
310,1943,194,356,334,1.79,0.09
320,1886,182,239,441,1.65,0.08
319,1804,174,316,365,2.88,0.14
304,1474,204,262,434,2.87,0.14
293,1526,173,358,349,2.06,0.1
287,2028,193,316,397,1.58,0.08
295,1785,195,292,414,2.2,0.11
321,1632,166,291,388,1.99,0.1
323,1910,175,314,363,1.79,0.09
321,1511,187,292,388,0.89,0.05
348,1659,198,254,398,2.8,0.14
338,1720,190,283,379,1.99,0.1
293,1583,177,368,339,0.75,0.04
316,1687,159,246,438,1.99,0.1
348,1706,201,228,424,1.99,0.14
281,1849,200,331,388,2.82,0.14
275,1724,223,326,400,2.68,0.13
335,1664,171,284,381,2.61,0.13
339,1631,182,262,399,1.51,0.08
320,1669,176,270,410,2.75,0.14
323,1550,162,259,418,2.61,0.13
342,1648,176,292,366,2.82,0.14
304,2092,181,304,392,2.68,0.13
322,1592,169,263,415,2.84,0.14
319,1644,182,295,385,1.92,0.1
295,1766,179,350,354,1.86,0.09
320,1646,165,329,351,1.58,0.08
356,1822,193,228,415,1.16,0.06
333,1620,174,284,383,1.51,0.08
315,1528,169,261,423,0.9,0.05
318,1801,209,291,391,0.78,0.04
302,1672,160,270,427,1.03,0.05
325,1643,186,286,389,1.44,0.07
328,1649,171,279,393,1.16,0.06
298,1691,179,364,338,0.78,0.04
290,1709,215,296,414,0.78,0.04
333,1654,182,270,397,1.72,0.09
336,1640,168,301,363,1.03,0.05
305,1436,164,256,440,2.06,0.1
318,1926,195,272,410,2.68,0.13
296,1739,205,293,410,1.16,0.06
322,1509,185,295,383,1.38,0.07
345,1685,178,288,367,1.65,0.08
359,1712,175,204,437,0.78,0.04
331,1786,187,265,404,1.03,0.05
280,1880,212,302,418,0.78,0.04
314,1918,190,296,390,2.2,0.11
326,1540,167,243,431,2.89,0.14
319,1636,187,300,381,2.82,0.14
325,1536,184,279,396,1.79,0.09
344,1549,195,231,424,1.58,0.08
294,1739,171,306,400,1.02,0.05
340,1678,192,274,385,2.75,0.14
324,1753,190,279,397,2.82,0.14
355,1704,204,218,426,1.85,0.09
325,1402,208,293,382,1.72,0.09
326,2005,187,279,394,2.81,0.14
324,1703,165,291,385,2.83,0.14
320,1570,158,290,389,2.82,0.14
303,1515,180,262,436,1.78,0.09
308,1656,194,278,413,2.75,0.14
308,2041,171,329,363,3.08,0.15
284,1630,198,277,439,2.85,0.14
326,1646,178,289,385,0.95,0.0016
326,1643,174,326,348,0.7,0.001
297,2092,185,321,383,0.95,0.0032
333,1655,166,267,401,1.4,0.0033
320,1675,208,306,374,1.7,0.0032
338,1513,204,239,423,0.8,0.0012
350,1861,180,286,364,0.9,0.0015
309,1590,176,293,398,0.57,0.0018
353,1746,210,233,414,0.8,0.0019
347,1866,187,314,340,0.2,0.0015
324,2197,193,242,434,1.3,0.001
318,1726,193,309,373,1.2,0.002
322,1805,173,268,409,0.9,0.0017
327,1555,175,290,383,0.4,0.0017
297,1787,349,357,346,1.5,0.0035
294,1531,179,346,360,0.16,0.0032
330,1554,190,270,400,0.4,0.0011
351,1721,183,279,369,1.5,0.0009
303,1756,194,284,413,1.7,0.0004
281,1612,175,318,401,1.9,0.0004
327,1719,170,316,357,1.4,0
298,1859,190,322,380,3.4,0.0029
325,1370,193,285,390,2.2,0.003
270,2035,189,317,413,1,0.0036
326,1630,169,288,385,1,0.0036
302,2147,221,312,387,0.57,0.0014
349,1822,200,217,434,0.1,0.0012
322,1532,174,280,398,2.4,0
361,1820,183,246,393,2.9,0
287,1795,178,313,401,0.95,0.0035
323,1681,199,250,427,1.3,0.0015
272,1940,205,343,384,1,0.0018
301,2070,185,291,407,1.5,0.0019
300,1995,176,338,362,0.7,0.0013
308,1868,205,320,372,1,0.0009
335,1551,175,274,392,1.5,0.0012
295,1807,205,332,372,1.4,0.0018
369,1664,168,241,390,0.4,0.0013
297,1954,183,356,347,1.6,0.0008
346,1746,173,277,377,1.2,0.0014
341,1683,190,294,366,0.95,0
313,1489,174,264,423,1,0.0035
340,1616,197,245,415,0.95,0.0034
312,1663,160,293,395,1.8,0.0028
332,1666,191,283,385,0.8,0.0037
347,1895,182,286,367,0.57,0.0002
344,1851,184,234,422,0.2,0.0033
309,1570,194,293,398,0.2,0.003
323,1587,168,292,385,0.1,0.0039
363,1554,215,233,405,0.47,0.0037
284,1754,179,318,398,0.27,0
313,1713,179,284,403,0.4,0
308,1555,194,265,427,0.27,0.0034
307,1548,183,367,326,0.2,0
273,1743,196,338,390,0.16,0.0038
322,1628,158,268,411,0.4,0.0033
325,1590,198,274,401,0.1,0.0033
302,1801,183,320,378,0.8,0.0038
299,2009,207,338,364,0.2,0.0032
301,2032,205,322,377,1.2,0.0028
321,1742,169,291,388,2.15,0.12
336,1557,174,227,438,1.79,0.09
289,1954,189,305,405,1.91,0.11
323,1993,174,273,404,1.44,0.08
316,1581,164,327,357,2.39,0.12
326,1636,170,242,432,0.72,0.04
304,1559,216,259,438,1.44,0.07
342,1703,167,241,417,1.44,0.08
296,1549,190,266,438,1.32,0.05
336,1940,173,267,398,1.08,0.06
287,1631,171,294,419,1.69,0.08
339,1658,165,293,367,2.03,0.1
353,1517,169,238,409,1.2,0.06
303,2026,195,281,417,1.44,0.08
317,1972,189,312,371,2.03,0.09
321,1636,174,304,375,1.69,0.08
297,1994,219,293,411,1.79,0.1
320,1643,169,308,372,0.67,0.05
337,1765,181,303,360,1.2,0.06
324,1980,191,284,392,1.2,0.07
338,1546,185,234,428,1.69,0.9
329,1761,208,298,373,1.08,0.07
316,1509,175,251,433,1.2,0.06
308,1611,198,274,418,1.44,0.08
278,1724,160,356,366,1.44,0.1
315,1500,218,341,344,1.44,0.07
309,1674,171,279,411,1.69,0.09
318,1676,164,293,388,2.27,0.12
302,2009,183,332,366,1.44,0.07
284,1630,198,277,439,1.2,0.06
328,1925,174,285,387,1.69,0.08
321,1577,161,277,402,1.91,0.1
316,1639,191,286,397,1.44,0.09
337,1977,200,272,391,1.44,0.08
320,1575,192,290,389,1.57,0.06
332,1598,164,250,417,1.32,0.07
329,1474,175,244,427,2.27,0.12
329,1494,156,286,385,1.79,0.1
330,1680,196,286,384,1.57,0.08
295,1620,194,256,449,1.57,0.09
318,1656,176,316,365,1.44,0.09
316,1639,191,286,397,1.32,0.08
325,1634,181,297,378,1.79,0.08
268,1619,181,333,400,1.44,0.07
341,1656,196,297,362,1.79,0.1
339,1816,178,253,408,1.69,0.1
302,1587,182,336,361,1.8,0.12
336,1797,211,285,379,2.18,0.11
352,1766,232,236,412,1.44,0.09
295,1943,179,295,410,1.57,0.1
324,1554,188,256,420,1.32,0.1
324,1759,174,236,439,1.32,0.09
307,2179,371,341,351,1.8,0.1
336,1703,165,286,378,2.18,0.11
342,1650,184,234,424,1.8,0.11
311,2117,175,343,346,1.08,0.07
320,1764,189,305,376,1.57,0.09
327,1686,193,238,435,1.57,0.09
308,1584,165,294,397,1.93,0.11
329,1785,192,304,367,1.57,0.11
298,1873,216,303,399,1.93,0.11
285,2027,196,325,390,1.69,0.13
323,2122,177,290,387,3.38,0.2
315,1624,187,291,394,1.69,0.09
292,1811,173,307,401,1.57,0.09
314,1485,201,268,418,2.16,0.12
301,1644,178,290,409,1.69,0.11
371,1462,186,248,381,2.05,0.11
338,1678,179,305,357,2.05,0.11
336,1539,193,279,385,2.05,0.09
359,1761,174,245,396,1.44,0.09
323,1502,189,291,387,1.81,0.1
327,1670,175,304,370,2.16,0.14
311,1640,161,240,450,1.57,0.09
315,1570,186,300,385,1.44,0.1
359,1583,185,235,406,1.57,0.12
355,1592,181,241,404,2.16,0.12
320,1576,171,291,390,2.67,0.14
