longitude,latitude,start_date,end_date,source,horizon_lower,horizon_upper,aluminium_extractable,boron_extractable,calcium_extractable,carbon_organic,carbon_total,copper_extractable,electrical_conductivity,iron_extractable,magnesium_extractable,manganese_extractable,nitrogen_total,ph,phosphorus_extractable,potassium_extractable,sodium_extractable,sulphur_extractable,zinc_extractable,sand,silt,clay
7.62165,8.7604,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,673.296,0.18636,1215.43,5.90138,,1.25047,0.669113,115.822,334.202,72.8973,0.404773,6.36759,13.8595,122.298,33.6273,5.93759,1.37628,60.0,18.0,19.0
9.69903,10.20077,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,598.274,0.18843,5146.75,6.00659,,3.77202,1.54804,87.8279,831.628,250.684,0.669862,6.98778,3.25221,180.616,232.143,26.1901,0.753341,59.0,17.0,20.0
9.03177,9.65042,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,758.841,0.19104,1264.31,11.1593,,1.51804,1.74623,87.3985,435.042,83.649,1.285,5.84185,9.81042,256.528,168.13,23.6288,1.75168,54.0,18.0,24.0
11.0777,8.97676,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,484.954,0.19377,635.96,9.76345,,0.957855,0.68943,161.407,201.685,65.6144,0.725328,6.70738,10.3026,92.5448,32.3231,6.981,1.86254,51.0,26.0,21.0
10.02454,9.3695,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,569.92,0.19846,1146.56,6.09496,,1.54429,0.674226,121.173,249.338,91.8921,0.476494,6.98375,18.255,158.744,36.6107,5.92214,1.16959,60.0,16.0,19.0
10.02592,9.92179,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,634.994,0.20198,1620.24,5.92794,,1.38576,0.899926,119.752,316.424,59.7252,0.704742,6.33662,4.47205,149.478,68.9697,7.58833,1.11143,69.0,15.0,17.0
10.05741,9.42755,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,478.847,0.20253,1109.27,6.89558,,1.64713,1.2322,135.21,441.339,114.266,0.749069,7.10298,6.07983,154.912,47.3902,6.40195,1.6198,57.0,21.0,20.0
11.64093,9.01276,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,648.955,0.22685,1335.21,11.9668,,0.862625,1.07148,125.411,380.057,58.3061,1.28788,6.56349,9.71019,205.599,44.7255,11.9583,1.68747,61.0,17.0,18.0
8.53562,9.32715,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,815.51,0.24608,1318.51,24.0556,,1.61222,1.0189,214.871,369.416,99.3787,1.225,6.1568,10.1681,93.2748,26.6083,18.0258,1.78374,62.0,16.0,21.0
9.25761,10.29301,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,698.129,0.26895,956.505,6.77048,,1.41992,0.889484,155.852,469.115,119.198,0.810418,6.38538,6.44866,161.175,36.257,6.99107,1.7415,47.0,21.0,25.0
9.84106,9.05141,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,675.546,0.33191,1817.09,9.57357,,1.8547,0.772987,201.89,550.612,109.025,0.741177,6.55961,5.17872,173.135,52.1157,15.7149,1.9954,52.0,20.0,22.0
7.71379,9.51283,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,795.418,0.33258,731.49,19.0798,,1.02421,1.11584,97.5412,377.004,71.7612,1.70925,5.83878,15.8249,148.751,35.79,12.5854,2.29899,57.0,19.0,26.0
11.01234,8.97793,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,1200.84,0.33288,1515.25,17.4048,,1.43613,0.897704,169.204,379.636,77.1658,1.47231,5.65265,7.67067,254.209,31.4219,20.2615,2.52736,48.0,25.0,23.0
9.0403,9.66621,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,705.791,0.33359,1436.49,8.75852,,2.00995,1.04777,141.767,474.436,113.568,0.754518,6.43242,3.02727,253.339,52.906,25.5892,1.64351,59.0,18.0,20.0
9.12958,8.3634,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,131.294,0.005622,62.4431,2.20945,,0.10649,0.468618,72.8597,14.5042,14.612,0.218657,6.16856,6.43252,17.9103,20.3782,4.15097,0.49659,66.0,20.0,16.0
8.52495,8.42855,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,476.027,0.006009,406.309,3.45791,,0.348372,0.19179,138.411,85.0955,21.8278,0.202744,5.65349,2.62919,55.7455,40.3736,6.26601,0.634759,72.0,17.0,12.0
6.1291,9.50625,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,334.601,0.010001,202.38,3.54939,,0.090977,0.581858,53.3127,72.4472,28.0516,0.208524,6.60157,2.13949,45.9068,26.3939,5.31499,0.935492,71.0,19.0,13.0
5.08989,10.27407,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,241.304,0.010413,271.42,4.62262,,0.121357,0.597128,72.0052,41.2274,44.4256,0.270889,6.20088,5.99558,40.5178,24.2331,4.36223,1.39346,71.0,19.0,12.0
6.56518,9.3675,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,352.55,0.010465,366.505,5.21668,,0.173055,0.724005,81.4405,174.278,40.5927,0.382172,6.41323,5.90701,51.6911,34.3407,5.58765,1.13011,64.0,18.0,16.0
8.1796,8.07936,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,896.394,0.010877,191.634,7.46439,,1.11058,0.34846,161.113,86.5716,36.1513,0.492894,5.24615,4.26601,77.486,35.6218,10.8172,0.930192,62.0,17.0,14.0
