longitude,latitude,Boron,SOC,Nitrogen,pH,Phosphorus,Potassium,Sulfur,Zinc,Sand,Silt,Clay,Area,Soil group,Land class,Soil type
5.36256,9.51697,0.021318,4.67084,0.278272,6.43693,4.17828,55.5885,7.33205,1.04596,65.0,20.0,17.0,isda,isda,isda,isda
5.52242,8.98362,0.021468,8.96261,0.995194,5.48737,3.69894,10.4738,8.57494,0.775023,47.0,25.0,22.0,isda,isda,isda,isda
11.38881,9.15015,0.021823,3.21277,0.24744,6.24522,6.13555,70.6721,3.83605,0.922692,59.0,21.0,19.0,isda,isda,isda,isda
4.84312,9.16968,0.022055,3.24115,0.330859,6.28232,6.91831,115.2,6.50742,1.24467,65.0,22.0,14.0,isda,isda,isda,isda
4.501,9.89338,0.022116,2.50021,0.228018,6.22039,10.6802,55.0229,5.53668,0.659035,64.0,20.0,16.0,isda,isda,isda,isda
5.35466,10.65464,0.022214,5.88353,0.285015,6.01707,2.4506,77.4032,5.75234,1.16705,72.0,15.0,12.0,isda,isda,isda,isda
6.54126,9.37727,0.022238,4.98924,0.344113,5.97046,6.85438,62.3088,4.23499,1.04551,69.0,15.0,12.0,isda,isda,isda,isda
6.37173,9.67128,0.022928,7.71365,0.674538,6.05889,1.89158,103.937,5.47932,1.11832,65.0,16.0,15.0,isda,isda,isda,isda
6.03752,9.64049,0.023234,6.74418,0.463216,5.89881,7.07867,73.73,5.57021,1.41829,64.0,19.0,14.0,isda,isda,isda,isda
9.12437,8.37564,0.023261,4.46619,0.366807,6.78532,10.6114,113.748,6.04565,0.504835,61.0,21.0,18.0,isda,isda,isda,isda
8.22872,9.98667,0.024166,7.90207,0.710986,5.76107,3.29374,119.492,6.65939,1.03565,58.0,17.0,25.0,isda,isda,isda,isda
7.59854,9.99547,0.024174,4.7449,0.47291,5.77217,3.01637,8.50103,7.01705,0.863514,50.0,20.0,24.0,isda,isda,isda,isda
8.2454,11.09724,0.024239,2.87257,0.301378,6.09444,2.81883,86.5492,6.01006,1.20769,52.0,27.0,21.0,isda,isda,isda,isda
10.41415,10.676,0.024814,9.65368,0.591913,6.51664,6.13347,39.2383,5.09422,1.84838,68.0,19.0,18.0,isda,isda,isda,isda
11.39398,9.16889,0.025214,4.35518,0.259456,5.85379,5.32614,91.471,4.5186,0.920954,48.0,29.0,27.0,isda,isda,isda,isda
8.38057,8.99978,0.025222,4.93313,0.326048,6.09944,5.96704,49.8153,4.50278,1.27558,61.0,16.0,21.0,isda,isda,isda,isda
6.54786,9.37754,0.025612,5.24431,0.3909,5.7138,5.74147,79.9419,6.13394,1.19268,66.0,16.0,14.0,isda,isda,isda,isda
7.97489,11.53703,0.025666,4.15603,0.28332,5.89611,6.52598,71.5596,4.23906,1.12301,63.0,21.0,19.0,isda,isda,isda,isda
4.48827,10.98444,0.025863,3.7133,0.414738,6.20151,4.02976,74.9508,4.91167,0.773669,68.0,16.0,14.0,isda,isda,isda,isda
8.6529,10.76569,0.027197,7.80027,0.511984,5.85027,5.56056,114.974,6.02424,1.26093,54.0,23.0,23.0,isda,isda,isda,isda
8.38507,10.09573,0.027608,15.601,0.929811,5.666,5.34177,75.5641,8.03476,1.48381,57.0,19.0,22.0,isda,isda,isda,isda
6.50435,8.51931,0.027712,6.5482,0.346511,5.72979,5.82545,53.4345,6.9865,1.51828,63.0,22.0,17.0,isda,isda,isda,isda
9.17354,11.26482,0.028994,4.80315,0.340398,5.96626,5.25365,14.3647,5.45045,0.992063,54.0,23.0,23.0,isda,isda,isda,isda
9.18314,11.26222,0.029009,4.06942,0.359218,6.01741,5.66855,14.3647,7.21808,1.02345,59.0,21.0,21.0,isda,isda,isda,isda
9.13977,11.28752,0.029331,6.52615,0.732845,6.13933,8.96233,9.93052,7.21886,0.696196,63.0,19.0,18.0,isda,isda,isda,isda
9.70586,10.15412,0.030239,7.46085,0.588401,6.01154,7.24265,121.769,4.75114,1.12889,48.0,22.0,24.0,isda,isda,isda,isda
11.02942,8.91025,0.030554,6.36368,0.378653,6.69078,5.93129,116.556,4.9271,1.31937,56.0,25.0,19.0,isda,isda,isda,isda
7.63665,9.94885,0.031239,7.98919,0.85503,5.51526,2.71228,7.79891,8.04602,1.16537,54.0,16.0,22.0,isda,isda,isda,isda
8.62569,10.81574,0.031342,3.05157,0.309629,6.14241,7.21779,21.653,3.92211,1.0371,56.0,21.0,21.0,isda,isda,isda,isda
6.9432,11.1213,0.031928,10.0988,0.740193,5.67173,3.83052,89.6254,5.51419,0.97806,64.0,19.0,15.0,isda,isda,isda,isda
8.63447,10.14152,0.033127,7.68874,0.478676,5.68784,3.74686,80.3245,7.71021,1.39192,55.0,20.0,19.0,isda,isda,isda,isda
8.60563,10.78558,0.033208,10.3892,0.675002,5.75128,2.25731,65.6267,9.6803,1.00159,53.0,23.0,23.0,isda,isda,isda,isda
8.22513,9.93767,0.033213,10.8918,0.671287,5.83889,2.64493,70.6583,12.9166,0.938662,58.0,18.0,22.0,isda,isda,isda,isda
5.348,9.5294,0.034997,5.46674,0.478983,6.26634,9.15547,118.189,5.8264,0.817161,69.0,22.0,15.0,isda,isda,isda,isda
8.5802,9.3299,0.035436,7.34024,0.562848,6.28778,10.6783,101.841,5.6597,1.0403,53.0,22.0,23.0,isda,isda,isda,isda
9.11986,8.37824,0.035794,11.2819,0.620111,6.47835,4.72419,206.555,6.27104,0.886451,61.0,19.0,19.0,isda,isda,isda,isda
8.3189,11.1343,0.035893,8.41771,0.49898,6.01539,14.5806,116.766,7.38695,1.39128,56.0,23.0,21.0,isda,isda,isda,isda
10.00909,9.9137,0.036063,8.46262,0.772522,5.57537,7.59971,126.165,12.3597,1.40071,64.0,19.0,22.0,isda,isda,isda,isda
9.18928,9.57059,0.036326,5.65567,0.44981,5.64201,10.116,104.525,8.0032,1.62835,53.0,15.0,24.0,isda,isda,isda,isda
8.58009,10.80491,0.037278,4.22844,0.354939,5.74793,7.07524,8.43654,6.20634,1.0367,52.0,25.0,21.0,isda,isda,isda,isda
11.36003,9.12819,0.037949,4.14342,0.23345,5.32571,10.1855,72.7771,4.0185,0.65506,53.0,23.0,20.0,isda,isda,isda,isda
9.08263,8.59073,0.038004,7.53221,0.668418,5.74384,4.70346,93.0298,10.0109,0.725128,63.0,21.0,15.0,isda,isda,isda,isda
9.03623,9.59994,0.038703,16.4849,0.896227,5.41176,3.46305,166.589,7.22209,2.44039,60.0,15.0,19.0,isda,isda,isda,isda
5.98973,10.26583,0.039654,5.02306,0.306782,6.27148,5.49607,96.4956,5.27165,1.36405,60.0,20.0,15.0,isda,isda,isda,isda
9.09873,8.40999,0.039681,8.48595,0.459789,6.77537,12.7019,65.0486,4.78262,1.1989,66.0,20.0,17.0,isda,isda,isda,isda
7.64637,9.96717,0.039817,4.78234,0.429308,5.82978,4.78649,10.7739,6.85772,0.732702,58.0,18.0,23.0,isda,isda,isda,isda
8.24322,11.03745,0.040356,7.56648,0.528193,6.32745,1.72032,51.3337,7.03314,1.0912,50.0,26.0,21.0,isda,isda,isda,isda
9.25376,10.26965,0.041492,8.68268,0.835233,5.77556,11.6626,145.252,21.3365,1.60166,52.0,20.0,25.0,isda,isda,isda,isda
6.99166,11.07852,0.043462,6.78852,0.590946,6.10957,2.12325,81.3695,7.84251,0.841359,62.0,22.0,17.0,isda,isda,isda,isda
4.4375,10.95615,0.043516,9.27167,0.732947,6.11989,15.0589,169.165,5.97012,1.63607,67.0,13.0,15.0,isda,isda,isda,isda
5.46031,9.98732,0.044416,8.99774,0.687296,5.69473,4.09975,73.459,7.23582,1.01798,65.0,17.0,13.0,isda,isda,isda,isda
10.01381,9.92626,0.044774,4.91359,0.333454,6.31442,5.853,170.171,8.16027,0.635092,65.0,17.0,21.0,isda,isda,isda,isda
8.3294,10.0806,0.045294,10.0431,0.923067,5.79067,2.1113,122.874,11.2789,1.07778,56.0,16.0,22.0,isda,isda,isda,isda
9.95574,8.53682,0.045967,4.96866,0.453396,6.50527,8.84931,91.471,4.94321,1.19219,61.0,23.0,18.0,isda,isda,isda,isda
7.67038,9.92063,0.047101,9.12523,0.727617,5.25877,3.23118,133.65,9.52188,1.28179,60.0,18.0,25.0,isda,isda,isda,isda
7.59995,11.07815,0.049102,5.90225,0.468516,6.10696,5.47367,59.1973,6.83177,1.28096,58.0,26.0,18.0,isda,isda,isda,isda
9.69645,10.20401,0.052727,4.14436,0.395882,5.69681,8.54059,116.299,4.12444,1.20613,61.0,16.0,18.0,isda,isda,isda,isda
11.37429,9.14437,0.053264,10.9627,0.79172,6.49878,6.59701,90.874,6.52793,1.66476,55.0,22.0,21.0,isda,isda,isda,isda
8.22692,9.98393,0.054438,12.4285,1.54439,5.78686,2.90696,72.1053,10.3526,1.60304,58.0,16.0,23.0,isda,isda,isda,isda
