longitude,latitude,Area,Soil group,Land class,Soil type,pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay,County,Country,State
89.2767,25.5678,Mithapukur,Khilgaon,Medium high land,brick,5.0,1.48,0.08,0.12,2.1,22.4,0.44,0.93,20.0,20.0,60.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Khilgaon,Medium high land,brick,4.8,3.75,0.18,0.14,1.5,39.0,0.41,0.93,20.0,20.0,60.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Khilgaon,Medium low land,brick,4.8,2.98,0.16,0.16,2.2,35.8,0.46,1.03,20.0,20.0,60.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Pirgacha,high ground,loam,4.7,1.28,0.09,0.19,66.9,25.5,0.28,1.11,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Pirgacha,high ground,loam,5.0,1.57,0.08,0.15,38.1,12.6,0.3,0.81,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.1,1.22,0.07,0.38,70.0,11.3,0.36,0.75,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,6.2,1.47,0.09,0.08,40.7,15.3,0.46,0.67,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.8,1.71,0.09,0.08,39.4,20.0,0.41,0.78,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.4,1.26,0.07,0.18,27.8,8.3,0.42,0.57,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.0,1.51,0.08,0.15,37.2,7.0,0.46,0.48,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.0,1.71,0.1,0.22,35.2,8.1,0.34,0.58,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,6.1,1.62,0.09,0.06,19.2,12.6,0.31,0.55,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.2,1.99,0.11,0.15,37.4,17.4,0.38,0.8,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
