Area,Average_Elevation,Average_Temperature,Boron,Clay,Land class,Mean_Precipitation,Nitrogen,Phosphorus,Potassium,SOC,Sand,Silt,Soil group,Soil type,Sulfur,Zinc,latitude,longitude,pH
Bauchi,398,27.86037598,0.0076796,18,isda,11.32951677,0.0193689,3.42697,0.138024615,0.386505,63,19,isda,isda,4.82956,0.972195,10.67729,10.41801,6.24976
Bauchi,505,26.23922119,0.0507224,18,isda,16.78643748,0.0324112,2.28908,0.178105385,0.381344,67,19,isda,isda,7.12138,1.05829,11.24652,9.17397,6.04465
Bauchi,520,26.23922119,0.090463,19,isda,16.78643748,0.0475884,4.36544,0.247481026,0.826919,60,19,isda,isda,7.10711,1.71897,11.23612,9.15827,6.53606
Bauchi,570,25.99489746,0.092295,19,isda,23.19471352,0.0718602,14.1643,0.390692308,1.0292,64,19,isda,isda,7.24136,1.90411,9.88804,9.99499,6.10188
Bauchi,731,24.88936768,0.109111,19,isda,26.83751844,0.104585,6.14997,0.3235,1.14149,60,19,isda,isda,5.52689,1.55347,10.22752,9.30141,5.58979
Bauchi,502,27.07485352,0.0247642,19,isda,12.77913339,0.0438778,5.3019,0.028531026,0.360627,60,19,isda,isda,4.17451,0.852363,11.28471,9.13977,5.98439
Bauchi,529,26.23922119,0.0465351,19,isda,16.78643748,0.0404405,4.18972,0.087751795,0.486939,59,19,isda,isda,10.4196,0.709602,11.2192,9.12648,6.28023
Bauchi,535,25.99489746,0.0981846,19,isda,23.19471352,0.0412274,23.2327,0.438523077,0.587301,65,19,isda,isda,6.61408,1.63838,9.92477,9.9658,6.394
Bauchi,725,24.88936768,0.145479,20,isda,26.83751844,0.0744471,18.3217,0.435312821,0.771095,60,19,isda,isda,10.0828,1.36111,10.24659,9.28504,6.24674
Bauchi,351,27.86037598,0.0105807,20,isda,11.32951677,0.0153777,2.63133,0.012264821,0.188579,66,19,isda,isda,3.84174,0.679124,10.62147,10.44235,5.74802
Bauchi,722,24.88936768,0.0368257,20,isda,26.83751844,0.045695,3.30834,0.268161538,0.530884,54,19,isda,isda,6.28741,0.846433,10.24123,9.28748,5.85282
Bauchi,511,26.23922119,0.0757922,20,isda,16.78643748,0.0508159,4.68364,0.033236923,0.526428,61,19,isda,isda,7.27167,1.63,11.24587,9.16691,5.7767
Bauchi,535,26.23922119,0.0921001,20,isda,16.78643748,0.0862695,4.77874,0.027710769,0.793717,63,19,isda,isda,6.00399,0.955666,11.22145,9.12137,6.25643
Bauchi,425,27.86037598,0.00517114,20,isda,11.32951677,0.0190211,2.93058,0.075208462,0.312521,64,19,isda,isda,3.40313,0.833895,10.69162,10.42434,6.19626
Bauchi,737,24.88936768,0.13129,21,isda,26.83751844,0.124539,10.8978,0.449448718,1.61134,58,19,isda,isda,7.84883,1.99306,10.24945,9.28157,6.31352
Bauchi,537,25.99489746,0.170278,21,isda,23.19471352,0.147494,4.02854,0.691576923,1.16524,56,19,isda,isda,9.46793,1.8558,9.95691,9.98278,6.38305
Bauchi,572,25.21032104,0.185879,21,isda,28.24034356,0.0553025,5.29911,0.309269231,0.622079,61,19,isda,isda,5.87834,1.44972,10.16493,9.71113,5.99428
Bauchi,721,24.88936768,0.265207,21,isda,26.83751844,0.109994,14.3048,0.372441026,1.20331,52,19,isda,isda,8.51585,2.10398,10.23036,9.30656,5.9124
Bauchi,346,27.86037598,0.0278677,21,isda,11.32951677,0.0336218,3.34969,0.131624872,0.466528,64,19,isda,isda,6.37002,1.12825,10.63113,10.44931,5.70106
